name,pop,location
Concord,8255,"https://www.google.com/maps/?q=43.8001,-79.4829"
Bracebridge,8238,"https://www.google.com/maps/?q=45.0334,-79.3163"
Notre-Dame-des-Prairies,8230,"https://www.google.com/maps/?q=46.0501,-73.4324"
Dryden,8195,"https://www.google.com/maps/?q=49.7833,-92.7503"
Taber,8163,"https://www.google.com/maps/?q=49.787,-112.146"
Morinville,8108,"https://www.google.com/maps/?q=53.8001,-113.652"
Silver Berry,8089,"https://www.google.com/maps/?q=53.4579,-113.382"
Saint-Felicien,8088,"https://www.google.com/maps/?q=48.6501,-72.4491"
Saint-Hippolyte,8083,"https://www.google.com/maps/?q=45.9334,-74.0159"
Bridgewater,8070,"https://www.google.com/maps/?q=44.3786,-64.5188"
Goderich,8032,"https://www.google.com/maps/?q=43.7417,-81.7134"
Wild Rose,8031,"https://www.google.com/maps/?q=53.4708,-113.381"
Renfrew,8018,"https://www.google.com/maps/?q=45.4668,-76.6827"
Edson,7975,"https://www.google.com/maps/?q=53.5835,-116.436"
Fort Frances,7931,"https://www.google.com/maps/?q=48.6167,-93.4003"
Chandler,7914,"https://www.google.com/maps/?q=48.3493,-64.6793"
Kirkland Lake,7775,"https://www.google.com/maps/?q=48.1446,-80.0377"
Slave Lake,7661,"https://www.google.com/maps/?q=55.2834,-114.769"
Happy Valley-Goose Bay,7572,"https://www.google.com/maps/?q=53.3038,-60.3258"
Wasaga Beach,7567,"https://www.google.com/maps/?q=44.5168,-80.0164"
Chibougamau,7563,"https://www.google.com/maps/?q=49.9168,-74.3659"
Revelstoke,7533,"https://www.google.com/maps/?q=50.9971,-118.195"
Aylmer,7527,"https://www.google.com/maps/?q=42.7668,-80.983"
Pont Rouge,7518,"https://www.google.com/maps/?q=48.8833,-72.0825"
Camlachie,7506,"https://www.google.com/maps/?q=43.036,-82.1616"
Banff,7502,"https://www.google.com/maps/?q=51.1762,-115.57"
Yarmouth,7500,"https://www.google.com/maps/?q=43.8335,-66.1156"
Carignan,7426,"https://www.google.com/maps/?q=45.4501,-73.2992"
Campbellton,7384,"https://www.google.com/maps/?q=48.0075,-66.6727"
Beaumont,7366,"https://www.google.com/maps/?q=53.3501,-113.419"
Innisfil,7345,"https://www.google.com/maps/?q=44.3001,-79.6496"
Delson,7322,"https://www.google.com/maps/?q=45.3668,-73.5492"
Sydney Mines,7312,"https://www.google.com/maps/?q=46.2367,-60.2177"
Baie-Saint-Paul,7288,"https://www.google.com/maps/?q=47.4411,-70.4986"
Hanover,7255,"https://www.google.com/maps/?q=44.1501,-81.033"
La Sarre,7206,"https://www.google.com/maps/?q=48.8002,-79.1996"
Asbestos,7190,"https://www.google.com/maps/?q=45.7668,-71.9324"
Merritt,7179,"https://www.google.com/maps/?q=50.1123,-120.794"
Bluewater,7044,"https://www.google.com/maps/?q=43.4668,-81.5998"
Coaticook,7021,"https://www.google.com/maps/?q=45.1334,-71.7991"
Hampstead,6996,"https://www.google.com/maps/?q=45.4806,-73.6631"
Olds,6947,"https://www.google.com/maps/?q=51.7834,-114.102"
Greenwood,6915,"https://www.google.com/maps/?q=44.9741,-64.9317"
Gibsons,6821,"https://www.google.com/maps/?q=49.3954,-123.506"
Carbonear,6814,"https://www.google.com/maps/?q=47.7332,-53.2148"
Saint-Zotique,6773,"https://www.google.com/maps/?q=45.2501,-74.2492"
Kincardine,6725,"https://www.google.com/maps/?q=44.1834,-81.6331"
Plessisville,6677,"https://www.google.com/maps/?q=46.2186,-71.762"
Brownsburg-Chatham,6664,"https://www.google.com/maps/?q=45.6834,-74.4159"
Ponoka,6656,"https://www.google.com/maps/?q=52.6768,-113.581"
Mont-Joli,6568,"https://www.google.com/maps/?q=48.5839,-68.1921"
Rocky Mountain House,6527,"https://www.google.com/maps/?q=52.3668,-114.919"
Kimberley,6513,"https://www.google.com/maps/?q=49.6707,-115.978"
